name,cid,party,office
Don Young,N00007999,R,AK01
Dan Sullivan,N00035774,R,AKS1
Lisa Murkowski,N00026050,R,AKS2
Bradley Byrne,N00035380,R,AL01
Martha Roby,N00030768,R,AL02
Mike D Rogers,N00024759,R,AL03
Robert B Aderholt,N00003028,R,AL04
Mo Brooks,N00030910,R,AL05
Gary Palmer,N00035691,R,AL06
Terri A Sewell,N00030622,D,AL07
Jeff Sessions,N00003062,R,ALS1
Richard C Shelby,N00009920,R,ALS2
Rick Crawford,N00030770,R,AR01
French Hill,N00035792,R,AR02
Steve Womack,N00031857,R,AR03
Bruce Westerman,N00035527,R,AR04
Tom Cotton,N00033363,R,ARS1
John Boozman,N00013873,R,ARS2
Ann Kirkpatrick,N00029260,D,AZ01
Martha McSally,N00033982,R,AZ02
Raul M Grijalva,N00025284,D,AZ03
Paul Gosar,N00030771,R,AZ04
Matt Salmon,N00006446,R,AZ05
David Schweikert,N00006460,R,AZ06
Ruben Gallego,N00036097,D,AZ07
Trent Franks,N00006423,R,AZ08
Kyrsten Sinema,N00033983,D,AZ09
John McCain,N00006424,R,AZS1
Jeff Flake,N00009573,R,AZS2
Doug LaMalfa,N00033987,R,CA01
Jared Huffman,N00033030,D,CA02
John Garamendi,N00030856,D,CA03
Tom McClintock,N00006863,R,CA04
Mike Thompson,N00007419,D,CA05
Doris O Matsui,N00027459,D,CA06
Ami Bera,N00030717,D,CA07
Paul Cook,N00034224,R,CA08
Jerry McNerney,N00026926,D,CA09
Jeff Denham,N00031593,R,CA10
Mark Desaulnier,N00030709,D,CA11
Nancy Pelosi,N00007360,D,CA12
Barbara Lee,N00008046,D,CA13
Jackie Speier,N00029649,D,CA14
Eric Swalwell,N00033508,D,CA15
Jim Costa,N00026341,D,CA16
Mike Honda,N00012611,D,CA17
Anna Eshoo,N00007335,D,CA18
Zoe Lofgren,N00007479,D,CA19
Sam Farr,N00007312,D,CA20
David Valadao,N00033367,R,CA21
Devin Nunes,N00007248,R,CA22
Kevin McCarthy,N00028152,R,CA23
Lois Capps,N00007232,D,CA24
Steve Knight,N00035820,R,CA25
Julia Brownley,N00034254,D,CA26
Judy Chu,N00030600,D,CA27
Adam Schiff,N00009585,D,CA28
Tony Cardenas,N00033373,D,CA29
Brad Sherman,N00006897,D,CA30
Pete Aguilar,N00033997,D,CA31
Grace Napolitano,N00006789,D,CA32
Ted Lieu,N00035825,D,CA33
Xavier Becerra,N00009774,D,CA34
Norma Torres,N00036107,D,CA35
Raul Ruiz,N00033510,D,CA36
Karen Bass,N00031877,D,CA37
Linda Sanchez,N00024870,D,CA38
Ed Royce,N00008264,R,CA39
Lucille Roybal-Allard,N00006671,D,CA40
Mark A Takano,N00006701,D,CA41
Ken Calvert,N00007099,R,CA42
Maxine Waters,N00006690,D,CA43
Janice Hahn,N00006806,D,CA44
Mimi Walters,N00035391,R,CA45
Loretta Sanchez,N00008274,D,CA46
Alan Lowenthal,N00033274,D,CA47
Dana Rohrabacher,N00007151,R,CA48
Darrell Issa,N00007017,R,CA49
Duncan D Hunter,N00029258,R,CA50
Juan Vargas,N00007021,D,CA51
Scott Peters,N00033591,D,CA52
Susan A Davis,N00009604,D,CA53
Barbara Boxer,N00006692,D,CAS1
Dianne Feinstein,N00007364,D,CAS2
Diana DeGette,N00006134,D,CO01
Jared Polis,N00029127,D,CO02
Scott Tipton,N00027509,R,CO03
Kenneth R Buck,N00030829,R,CO04
Douglas L Lamborn,N00028133,R,CO05
Mike Coffman,N00024753,R,CO06
Edwin G Perlmutter,N00027510,D,CO07
Michael F Bennet,N00030608,D,COS1
Cory Gardner,N00030780,R,COS2
John B Larson,N00000575,D,CT01
Joe Courtney,N00024842,D,CT02
Rosa L DeLauro,N00000615,D,CT03
Jim Himes,N00029070,D,CT04
Elizabeth Esty,N00033217,D,CT05
Christopher S Murphy,N00027566,D,CTS1
Richard Blumenthal,N00031685,D,CTS2
Eleanor Holmes Norton,N00001692,D,DC00
John Carney,N00030736,D,DE01
Tom Carper,N00012508,D,DES1
Chris Coons,N00031820,D,DES2
Jeff Miller,N00013846,R,FL01
Gwen Graham,N00035688,D,FL02
Ted Yoho,N00033220,R,FL03
Ander Crenshaw,N00012739,R,FL04
Corrine Brown,N00002713,D,FL05
Ron DeSantis,N00034746,R,FL06
John L Mica,N00002793,R,FL07
Bill Posey,N00029662,R,FL08
Alan Grayson,N00028418,D,FL09
Daniel Webster,N00026335,R,FL10
Richard Nugent,N00032441,R,FL11
Gus Bilirakis,N00027462,R,FL12
David Jolly,N00035717,R,FL13
Kathy Castor,N00027514,D,FL14
Dennis Ross,N00030645,R,FL15
Vernon Buchanan,N00027626,R,FL16
Tom Rooney,N00029018,R,FL17
Patrick Murphy,N00033091,D,FL18
Curt Clawson,N00035854,R,FL19
Alcee L Hastings,N00002884,D,FL20
Ted Deutch,N00031317,D,FL21
Lois J Frankel,N00002893,D,FL22
Debbie Wasserman Schultz,N00026106,D,FL23
Frederica Wilson,N00030650,D,FL24
Mario Diaz-Balart,N00025337,R,FL25
Carlos Curbelo,N00035403,R,FL26
Ileana Ros-Lehtinen,N00002858,R,FL27
Bill Nelson,N00009926,D,FLS1
Marco Rubio,N00030612,R,FLS2
Buddy Carter,N00035346,R,GA01
Sanford Bishop,N00002674,D,GA02
Lynn A Westmoreland,N00026163,R,GA03
Hank Johnson,N00027848,D,GA04
John Lewis,N00002577,D,GA05
Tom Price,N00026160,R,GA06
Rob Woodall,N00032416,R,GA07
Austin Scott,N00032457,R,GA08
Doug Collins,N00033518,R,GA09
Jody B Hice,N00032243,R,GA10
Barry Loudermilk,N00035347,R,GA11
Richard W Allen,N00033720,R,GA12
David Scott,N00024871,D,GA13
Tom Graves,N00030788,R,GA14
David Perdue,N00035516,R,GAS1
Johnny Isakson,N00002593,R,GAS2
Mark Takai,N00035535,D,HI01
Tulsi Gabbard,N00033281,D,HI02
Brian Schatz,N00028138,D,HIS1
Mazie K Hirono,N00028139,D,HIS2
Rod Blum,N00033744,R,IA01
David Loebsack,N00027741,D,IA02
David Young,N00035509,R,IA03
Steven A King,N00025237,R,IA04
Chuck Grassley,N00001758,R,IAS1
Joni Ernst,N00035483,R,IAS2
Raul Labrador,N00031377,R,ID01
Mike Simpson,N00006263,R,ID02
James E Risch,N00029441,R,IDS1
Mike Crapo,N00006267,R,IDS2
Bobby L Rush,N00004887,D,IL01
Robin Kelly,N00035215,D,IL02
Daniel Lipinski,N00027239,D,IL03
Luis V Gutierrez,N00004874,D,IL04
Mike Quigley,N00030581,D,IL05
Peter Roskam,N00004719,R,IL06
Danny K Davis,N00004884,D,IL07
Tammy Duckworth,N00027860,D,IL08
Jan Schakowsky,N00004724,D,IL09
Bob Dold,N00031103,R,IL10
Bill Foster,N00029139,D,IL11
Mike Bost,N00035420,R,IL12
Rodney Davis,N00034784,R,IL13
Randy Hultgren,N00031104,R,IL14
John M Shimkus,N00004961,R,IL15
Adam Kinzinger,N00030667,R,IL16
Cheri Bustos,N00033390,D,IL17
Aaron Schock,N00029273,R,IL18
Darin LaHood,N00037031,R,IL18
Dick Durbin,N00004981,D,ILS1
Mark Kirk,N00012539,R,ILS2
Bobby L Rush,N00004887,D,IL01
Robin Kelly,N00035215,D,IL02
Daniel Lipinski,N00027239,D,IL03
Luis V Gutierrez,N00004874,D,IL04
Mike Quigley,N00030581,D,IL05
Peter Roskam,N00004719,R,IL06
Danny K Davis,N00004884,D,IL07
Tammy Duckworth,N00027860,D,IL08
Jan Schakowsky,N00004724,D,IL09
Bob Dold,N00031103,R,IL10
Bill Foster,N00029139,D,IL11
Mike Bost,N00035420,R,IL12
Rodney Davis,N00034784,R,IL13
Randy Hultgren,N00031104,R,IL14
John M Shimkus,N00004961,R,IL15
Adam Kinzinger,N00030667,R,IL16
Cheri Bustos,N00033390,D,IL17
Aaron Schock,N00029273,R,IL18
Darin LaHood,N00037031,R,IL18
Dick Durbin,N00004981,D,ILS1
Mark Kirk,N00012539,R,ILS2
Tim Huelskamp,N00027649,R,KS01
Lynn Jenkins,N00029077,R,KS02
