House Vote #564 2014-12-11T21:49:00 - H.R. 5699 (113th): John Muir National Historic Site Expansion Act
person,state,district,vote,name,party
400004,AL,4,Yea,"Rep. Robert Aderholt [R, 1997-2016]",Republican
400010,AL,6,Yea,"Rep. Spencer Bachus III [R, 1993-2014]",Republican
400018,TX,6,Yea,"Rep. Joe Barton [R, 1985-2016]",Republican
400021,CA,34,Yea,"Rep. Xavier Becerra [D, 2013-2016]",Democrat
400029,UT,1,Yea,"Rep. Rob Bishop [R, 2003-2016]",Republican
400030,GA,2,Yea,"Rep. Sanford Bishop Jr. [D, 1993-2016]",Democrat
400031,NY,1,Yea,"Rep. Timothy Bishop [D, 2003-2014]",Democrat
400032,TN,7,Not Voting,"Rep. Marsha Blackburn [R, 2003-2016]",Republican
400033,OR,3,Yea,"Rep. Earl Blumenauer [D, 1996-2016]",Democrat
400046,TX,8,Yea,"Rep. Kevin Brady [R, 1997-2016]",Republican
400047,PA,1,Yea,"Rep. Robert Brady [D, 1998-2016]",Democrat
400048,FL,5,Yea,"Rep. Corrine Brown [D, 2013-2016]",Democrat
400052,TX,26,Nay,"Rep. Michael Burgess [R, 2003-2016]",Republican
400057,CA,42,Yea,"Rep. Ken Calvert [R, 2013-2016]",Republican
400058,MI,4,Yea,"Rep. Dave Camp [R, 1993-2014]",Republican
400061,WV,2,Yea,"Rep. Shelley Capito [R, 2001-2014]",Republican
400062,CA,24,Yea,"Rep. Lois Capps [D, 2013-2016]",Democrat
400063,MA,7,Not Voting,"Rep. Michael Capuano [D, 2013-2016]",Democrat
400068,TX,31,Yea,"Rep. John Carter [R, 2003-2016]",Republican
400071,OH,1,Yea,"Rep. Steve Chabot [R, 2011-2016]",Republican
400074,MO,1,Yea,"Rep. Lacy Clay Jr. [D, 2001-2016]",Democrat
400075,SC,6,Yea,"Rep. James “Jim” Clyburn [D, 1993-2016]",Democrat
400076,NC,6,Not Voting,"Rep. Howard Coble [R, 1985-2014]",Republican
400077,OK,4,Yea,"Rep. Tom Cole [R, 2003-2016]",Republican
400080,MI,13,Yea,"Rep. John Conyers Jr. [D, 2013-2016]",Democrat
400081,TN,5,Yea,"Rep. Jim Cooper [D, 2003-2016]",Democrat
400086,FL,4,Yea,"Rep. Ander Crenshaw [R, 2001-2016]",Republican
400087,NY,14,Yea,"Rep. Joseph “Joe” Crowley [D, 2013-2016]",Democrat
400089,TX,7,Yea,"Rep. John Culberson [R, 2001-2016]",Republican
400090,MD,7,Yea,"Rep. Elijah Cummings [D, 1996-2016]",Democrat
400093,IL,7,Yea,"Rep. Danny Davis [D, 1997-2016]",Democrat
400097,CA,53,Yea,"Rep. Susan Davis [D, 2003-2016]",Democrat
400100,OR,4,Yea,"Rep. Peter DeFazio [D, 1987-2016]",Democrat
400101,CO,1,Yea,"Rep. Diana DeGette [D, 1997-2016]",Democrat
400103,CT,3,Yea,"Rep. Rosa DeLauro [D, 1991-2016]",Democrat
400108,FL,25,Yea,"Rep. Mario Diaz-Balart [R, 2013-2016]",Republican
400110,MI,12,Yea,"Rep. John Dingell [D, 2013-2014]",Democrat
400111,TX,35,Yea,"Rep. Lloyd Doggett [D, 2013-2016]",Democrat
400114,PA,14,Yea,"Rep. Michael “Mike” Doyle Jr. [D, 2003-2016]",Democrat
400116,TN,2,Yea,"Rep. John “Jimmy” Duncan Jr. [R, 1988-2016]",Republican
400122,NY,16,Yea,"Rep. Eliot Engel [D, 2013-2016]",Democrat
400124,CA,18,Yea,"Rep. Anna Eshoo [D, 2013-2016]",Democrat
400129,CA,20,Yea,"Rep. Sam Farr [D, 2013-2016]",Democrat
400130,PA,2,Yea,"Rep. Chaka Fattah [D, 1995-2016]",Democrat
400137,VA,4,Yea,"Rep. Randy Forbes [R, 2001-2016]",Republican
400141,AZ,8,Yea,"Rep. Trent Franks [R, 2013-2016]",Republican
400142,NJ,11,Yea,"Rep. Rodney Frelinghuysen [R, 1995-2016]",Republican
400145,NJ,5,Yea,"Rep. Scott Garrett [R, 2003-2016]",Republican
400147,PA,6,Yea,"Rep. Jim Gerlach [R, 2003-2014]",Republican
400151,GA,11,Yea,"Rep. Phil Gingrey [R, 2003-2014]",Republican
400154,VA,6,Yea,"Rep. Bob Goodlatte [R, 1993-2016]",Republican
400157,TX,12,Not Voting,"Rep. Kay Granger [R, 1997-2016]",Republican
400158,MO,6,Yea,"Rep. Sam Graves [R, 2001-2016]",Republican
400160,TX,29,Yea,"Rep. Gene Green [D, 1993-2016]",Democrat
400162,AZ,3,Yea,"Rep. Raúl Grijalva [D, 2013-2016]",Democrat
400163,IL,4,Not Voting,"Rep. Luis Gutiérrez [D, 1993-2016]",Democrat
